location,total_sqft,price,bhk
Kudlu Gate,1238,55,2
7th Phase JP Nagar,1405,59.01,3
Doddaballapur,1690,80,4
other,1620,110,3
Kanakpura Road,1673,115,3
Margondanahalli,1090,58,2
Varthur,1112,40,2
Marathahalli,1385,66.65,3
Electronic City Phase II,545,27,2
Subramanyapura,985,58,2
Kanakpura Road,825,36.29,1
Kanakpura Road,1080,37.8,2
Hosa Road,1430,97.52,2
Kengeri Satellite Town,1050,43,2
Kumaraswami Layout,2000,139,4
Banashankari Stage VI,4800,190,4
other,1533,115,3
other,2800,500,4
Malleshwaram,2610,399,3
Lakshminarayana Pura,1750,150,3
TC Palaya,1200,66,3
Prithvi Layout,1352,87.5,2
Harlur,1754,125,3
other,1560,85,3
Bannerghatta,3012,268,4
Whitefield,3584,199,4
Channasandra,1470,90,3
9th Phase JP Nagar,1035,45,2
Whitefield,2400,329,4
Kammanahalli,1160,52,2
Jakkur,1100,52,2
Horamavu Agara,1170,38,2
Bannerghatta Road,595,31.83,1
HSR Layout,1650,110,3
1st Block Jayanagar,1875,235,3
other,800,80,4
other,1375,48.06,3
Ramagondanahalli,1235,46.8,2
other,750,25,1
7th Phase JP Nagar,1400,115,3
Poorna Pragna Layout,1270,50.79,3
Bannerghatta Road,1105,51,2
other,1375,85,3
Attibele,2168,95,4
Gottigere,1200,90,8
Yelahanka,1065,40.84,2
other,3800,580,3
Raja Rajeshwari Nagar,3125,350,9
Whitefield,825,45,1
other,1095,40,2
other,720,65,3
other,1440,60.33,3
Electronic City,870,39.5,2
Panathur,1195,84,2
other,1200,49.5,2
Raja Rajeshwari Nagar,1530,61.2,3
Padmanabhanagar,1708,90.5,3
other,975,43,2
KR Puram,750,25,2
other,1200,190,8
Iblur Village,1920,130,3
Nagarbhavi,1200,240,6
Thanisandra,1183,58.56,2
Kothanur,1140,90,4
Mico Layout,1550,65,3
Kaggadasapura,1110,53,2
other,1500,165,8
Kaggadasapura,1105,38.67,2
Anekal,1800,68,3
other,2800,200,5
Bommanahalli,1000,29.9,2
Prithvi Layout,1190,68,2
2nd Stage Nagarbhavi,1350,200,4
Hebbal,3067,230,4
Sarjapur  Road,1929,103,3
Ramamurthy Nagar,1525,100,3
Nehru Nagar,1775,110,3
Banashankari,1125,63,2
other,900,42,2
Sarjapur  Road,1155,58,2
Hulimavu,1200,75,4
Sonnenahalli,1268,73,2
other,1500,88,3
Electronic City,630,47,1
Seegehalli,1525,65,3
Kaggadasapura,1060,48,2
Lingadheeranahalli,1687,127,3
Thanisandra,1847,123,3
Begur Road,1410,53,3
7th Phase JP Nagar,1075,42.99,2
Rajaji Nagar,3526,492,4
BTM Layout,3000,338,3
Basavangudi,1500,143,3
other,1010,46,2
Haralur Road,1875,110,3
other,1200,137,5
Kanakpura Road,983,50.6,2
Kasturi Nagar,1101,65,2
other,1140,76,2
Sarjapur  Road,1215,110,2
Kengeri Satellite Town,1007,42,2
Bellandur,2039,168,3
Ulsoor,1020,110,3
other,1198,84,2
other,4000,520,4
other,1470,34.5,4
other,1370,75,2
other,1316,55.5,2
Kaggadasapura,1350,55.5,3
other,1050,43,2
KR Puram,1128.76,47.405,3
Electronic City,921,34,2
Kundalahalli,1010,49.27,2
KR Puram,1015,43,2
TC Palaya,1200,66.5,3
Lakshminarayana Pura,1179,75,2
Anjanapura,1850,86,4
Kammasandra,870,24,2
Bellandur,1605,85,3
Banashankari Stage VI,2800,89,4
Malleshwaram,2475,320,3
other,3000,510,2
other,2400,110,6
other,1000,55,2
Ramamurthy Nagar,1200,80,2
other,1200,125,2
Kammasandra,1200,66,2
other,1200,50,2
Hennur,1255,57.5,2
Hosur Road,1085,30.38,2
Kanakpura Road,1592,125,3
other,1313,58.27,2
Kogilu,1934,150,3
Harlur,1200,49.5,2
Uttarahalli,3600,120,6
Old Madras Road,935,45,2
Bommasandra,877,30,2
other,936,42,2
Nagasandra,1470,110,3
other,1050,70,1
Hennur Road,1232,69.61,2
Ambedkar Nagar,2225,169,3
other,1200,80,3
Dasarahalli,1901,119,3
Sarjapur  Road,1819,100,3
other,1464,56,3
Old Madras Road,3715,200.5,4
9th Phase JP Nagar,5000,290,4
other,1200,169,4
other,1256,60,2
7th Phase JP Nagar,1100,44,2
TC Palaya,4800,302,4
Kothanur,1435,70,3
6th Phase JP Nagar,3245,250,4
Sarjapur  Road,1845,110,3
Jigani,2400,130,3
HSR Layout,1140,46,2
Ulsoor,1200,60,2
Talaghattapura,2254,170,3
Frazer Town,1750,150,3
other,1020,37,2
Bommanahalli,515,25,1
Lingadheeranahalli,1893,140,3
other,3025,500,3
other,830,34,2
Singasandra,600,36.5,2
Bisuvanahalli,1075,90,3
other,3200,1200,4
Kasavanhalli,1200,78,2
Sarjapur  Road,1233,77.65,2
Bannerghatta Road,1255,65.26,2
Begur Road,1200,37.8,2
Varthur,2145,175,3
1st Phase JP Nagar,1500,85,5
Kothannur,740,34,2
Kengeri,1250,48,3
other,1210,40,2
Sarjapur  Road,1525,60,3
Kogilu,540,36,1
Tumkur Road,1240,84,3
Subramanyapura,1245,68,3
other,1865,350,3
Hosa Road,1104,36.43,2
Bisuvanahalli,1075,35.99,3
Nagavara,2200,55,2
Whitefield,1155,60,2
other,1520,62,2
Thigalarapalya,3122,245,4
Harlur,1290,85,2
other,2300,80,3
Kannamangala,3000,200,4
other,400,14,1
Banashankari,1340,53.6,3
Malleshwaram,900,95,2
Rajaji Nagar,1800,324,6
Hennur Road,987,49,2
Old Madras Road,1720,100,3
Hebbal,1040,50,2
Anandapura,900,64,2
Raja Rajeshwari Nagar,1030,50,2
Neeladri Nagar,2556,133,3
Basavangudi,1850,168,3
Kaval Byrasandra,750,110,4
Balagere,1028,31.86,2
7th Phase JP Nagar,1270,83,2
Sahakara Nagar,1655,115,3
Electronics City Phase 1,940,40,2
Domlur,1050,85,2
other,600,40,4
other,946,38,2
CV Raman Nagar,1726,145,3
Sarakki Nagar,2121,253,3
Vittasandra,1404,75,2
Sarjapur,1525,48,3
Kengeri,1025,57,2
other,1575,150,5
other,860,43,2
Talaghattapura,1223,42.81,3
other,3750,550,4
Kothannur,1197,47.8,2
Garudachar Palya,1150,52.75,2
other,4800,629,4
R.T. Nagar,1040,46,2
Banashankari,1310,80,2
Uttarahalli,1788,98.34,3
Raja Rajeshwari Nagar,1144,38.55,2
Anjanapura,1070,39,2
other,1200,70,2
Ambedkar Nagar,1862,120,3
Margondanahalli,1200,58.5,2
Begur Road,970,27,2
Kasavanhalli,1646,79.5,3
Sarjapur  Road,4395,242,4
other,1200,100,5
Iblur Village,1995,135,3
1st Block Jayanagar,2400,450,4
Hosakerehalli,1085,47.74,2
Budigere,1139,56.8,2
Haralur Road,1092,44,2
Pattandur Agrahara,1767,98,3
other,1700,80,3
Bellandur,1692,88,3
6th Phase JP Nagar,1645,100,3
Uttarahalli,1345,57,3
other,1100,60,2
Gollarapalya Hosahalli,1408,62,3
Banashankari Stage III,2400,240,4
Kadugodi,1920,200,4
other,6040,170,5
Thigalarapalya,2072,150,3
Malleshwaram,1420,158,2
Electronics City Phase 1,2040,137,3
Sarjapur  Road,1220,56,3
8th Phase JP Nagar,1200,145,4
other,1300,79,2
Electronics City Phase 1,1150,39,2
KR Puram,1470,86,2
Hosa Road,1063,31.9,2
other,1311,48,2
other,3500,350,4
Nagarbhavi,600,100,4
other,1400,55,3
Kanakpura Road,2200,62,2
Thanisandra,1430,56,3
Vidyaranyapura,1060,55,2
other,1000,110,3
Sector 7 HSR Layout,1760,145,3
Whitefield,2010,92,3
Kanakpura Road,1480,64.23,3
8th Phase JP Nagar,1230,43.5,3
Gottigere,1300,65,3
other,800,120,4
Frazer Town,4850,385,4
Singasandra,1100,52,2
Harlur,1752.12,116,3
Marathahalli,957,46.9,2
Balagere,790.5,41.9,1
other,1942,102,3
other,1000,53,2
Yeshwanthpur,668,36.85,1
other,3000,1000,5
Nagarbhavi,600,80,3
Uttarahalli,1089,43.55,2
Thanisandra,1800,90,3
Yelahanka New Town,960,18,1
Yelahanka,1036,39.35,2
Marathahalli,1583,105,3
7th Phase JP Nagar,3300,150,4
Padmanabhanagar,1100,65,2
other,800,100,1
Vittasandra,1246,65,2
Dodda Nekkundi,850,28,2
Raja Rajeshwari Nagar,1196,51.51,2
Thanisandra,1697,114,3
TC Palaya,1000,64,2
HRBR Layout,1567,90,3
Anekal,1200,36,2
Sarjapur  Road,3750,290,4
other,950,45,2
other,1022,52,2
Kammasandra,1018,23.45,2
other,2000,25,4
Bharathi Nagar,1322,68,2
Marsur,1800,145,4
Doddakallasandra,1460,58.39,3
other,990,44.55,2
other,2400,260,3
Whitefield,1635,85,3
Rajaji Nagar,3526,558,4
Padmanabhanagar,3400,210,4
other,2770,460,3
EPIP Zone,3035,200,4
other,1533,85,3
Akshaya Nagar,1720,134,3
Frazer Town,2000,200,3
Yeshwanthpur,1185,75.84,2
Varthur Road,900,27,2
Attibele,395,10.25,1
Electronic City Phase II,1031,56.35,2
other,2400,650,6
Thanisandra,2650,240,4
Basaveshwara Nagar,2400,415,5
Uttarahalli,1330,46.55,3
Hennur,1259,57,2
Raja Rajeshwari Nagar,1570,88,3
Bisuvanahalli,1075,36,3
Whitefield,1216,79,2
Sarjapur  Road,1428,66,3
Begur Road,1160,40.59,2
other,600,110,3
other,1475,70,3
Harlur,1754,135,3
Rayasandra,1639,83,3
Hennur Road,1804,102,3
Whitefield,1200,56.2,3
other,1135,55,2
Begur Road,1260,46.62,2
other,1440,110,5
Hennur Road,2160,160,3
Rayasandra,700,85,7
Rachenahalli,1220,59.5,2
Margondanahalli,1200,67,2
Yelahanka,1300,65,2
Cox Town,605,29,1
Vijayanagar,1230,210,6
Bhoganhalli,1444,75.97,2
Amruthahalli,924,45,2
Kaikondrahalli,1000,30,2
Vishveshwarya Layout,600,95,4
other,1200,225,3
Bisuvanahalli,845,29,2
Kanakpura Road,700,35,2
Kothanur,1187,58,2
Kaggadasapura,1625,55,3
Devarachikkanahalli,1200,83,2
other,1452.55,110,2
other,2357,151,3
Kaval Byrasandra,1200,49.5,2
Budigere,1139,56.85,2
Basavangudi,600,97.5,1
Kanakpura Road,1660,75,3
other,1170,105,2
Somasundara Palya,1448,68,2
Kadugodi,1762,110,3
Kaggadasapura,1105,38.65,2
Yelahanka,1825,105,3
Bhoganhalli,296,22.89,1
other,1200,85,5
Thanisandra,1185,43,2
Electronic City Phase II,1320,38.12,3
Hulimavu,1058,48,2
Bellandur,1220,60,2
Sarjapur,925,25,2
Old Madras Road,1200,72,2
Kengeri,1160,40.6,3
Kengeri Satellite Town,600,72,3
other,1411,91.72,3
Bannerghatta Road,1550,78,3
Green Glen Layout,3250,230,4
Haralur Road,2475,130,3
Jakkur,3181,260.5,4
7th Phase JP Nagar,2503,188,4
Marathahalli,2524,190,4
Kaggadasapura,1063,42,2
Kanakpura Road,1077,37.7,2
other,1200,44,2
Hosakerehalli,1500,70,4
Jalahalli,1045,76.77,2
Kanakapura,1290,45.15,3
Hoodi,1400,78,2
Begur Road,1600,58.14,3
other,3095,375,3
Nagavara,1545,58,3
Sarjapur  Road,1680,112,3
other,1350,67.5,2
Gottigere,950,38,2
Thanisandra,1050,45,2
Banashankari Stage V,1305,49,3
Hosakerehalli,800,120,4
Kodichikkanahalli,2700,125,5
other,1100,78,3
Thanisandra,3500,160,6
Begur Road,1634,83.33,3
Prithvi Layout,1352,85,2
Balagere,1145,65,2
other,1240,43.79,2
7th Phase JP Nagar,2200,190,3
Bommasandra Industrial Area,1020,39,2
other,3600,365,4
Raja Rajeshwari Nagar,1168,61,2
Electronic City Phase II,1205,75,2
Yeshwanthpur,1195,100,2
CV Raman Nagar,1028,49,2
other,1175,48.27,2
Pai Layout,1550,90,3
Yeshwanthpur,1826,165,3
Hoodi,2400,160,5
Yelahanka,1603,96,3
Marathahalli,1350,72,3
KR Puram,714,28,1
Whitefield,1215,65,2
Malleshpalya,1405,77,3
KR Puram,1142,51,2
other,4000,170,4
Whitefield,1870,90,3
Subramanyapura,1313,73,2
other,1945,120,3
Thanisandra,1573,95,3
Sarjapur  Road,1255,92,2
Benson Town,1400,91.15,4
Kannamangala,1235,43.63,2
Sarjapur  Road,1380,52,3
Ramamurthy Nagar,1500,250,7
Vittasandra,1238,67,2
other,1465,74.72,3
Thigalarapalya,1418,103,2
other,1650,165,3
Anekal,351,16,1
Uttarahalli,1279,48,2
Kasavanhalli,1870,200,3
other,1500,230,4
Hebbal,2526,250,3
other,1550,150,3
Rajaji Nagar,3539.5,424.5,4
Uttarahalli,1845,68.27,3
other,1360,59.27,3
other,1150,75,3
Whitefield,1260,49.5,2
other,1200,74,3
Dasanapura,965,42.5,2
Hoodi,1350,48,3
Bhoganhalli,1447,75.97,2
other,1229,86.03,3
Kudlu,1027,43,2
Gottigere,1153,48.5,2
Whitefield,2856,145.5,4
Malleshpalya,1065,50,2
other,1030,61,2
Mallasandra,1340,61,2
Marathahalli,4000,212,4
other,600,32,1
Begur Road,1410,44.42,3
Varthur,1055,45.35,2
Yelahanka,1304,79,2
other,2720,485,4
Kammasandra,990,31.5,2
7th Phase JP Nagar,1035,39.33,2
Tumkur Road,700,30.09,1
Sonnenahalli,1120,43,2
Haralur Road,1300,73,2
Tumkur Road,1239,82,2
Sarjapur  Road,1403,51.63,3
Hosa Road,1365,92,2
other,1165,135,2
Subramanyapura,1130,45.19,3
Green Glen Layout,1776.42,105,3
Vidyaranyapura,900,175,4
Haralur Road,1194,47,2
other,1107,33,2
Nagavara,2319,180,3
other,1520,80,3
Kannamangala,1536,89,3
other,3000,240,4
other,1050,38,2
Hoodi,1850,146,3
Billekahalli,1112,62,2
Marathahalli,1535,72.5,3
Kanakpura Road,1050,35,2
Banashankari,2400,370,4
7th Phase JP Nagar,1250,65,3
Kalena Agrahara,1187,52,2
9th Phase JP Nagar,1164,56,2
Electronic City Phase II,1395,62.78,3
Arekere,2072,108,3
Kanakpura Road,1450,60.91,3
Bannerghatta Road,1550,82,3
other,1315,90,2
Hebbal,3067,230,4
other,1210,72,2
Bisuvanahalli,1075,47,3
other,11338,1000,6
other,1215,42.2,3
Kaggadasapura,1470,75,3
other,30000,2100,4
Hosur Road,1590,125,3
Kanakpura Road,1050,36.75,2
Raja Rajeshwari Nagar,1306,55.91,2
Malleshwaram,2000,250,3
other,1445,64,3
Sarjapur  Road,1220,58,3
Sarjapur,3190,160,4
Ramagondanahalli,1215,51.26,2
Budigere,1920,88,3
Dodda Nekkundi,1390,60,2
Battarahalli,800,75,3
Nagarbhavi,600,100,3
Hoodi,1196,71.74,2
Bannerghatta Road,1550,75,3
Thigalarapalya,1418,101,2
Varthur Road,1655,115,3
KR Puram,1115,33.45,2
other,1170,68,2
Anekal,1035,38.3,2
Singasandra,1306,58,3
Kengeri,750,22,2
Thanisandra,1917,122,3
Kaggadasapura,1615,58,3
Marathahalli,1071,52.25,2
Koramangala,1325,119,2
Malleshwaram,3000,900,7
5th Phase JP Nagar,1400,88,3
Tumkur Road,1246,82,2
Sarjapur,1215,40,2
Munnekollal,1200,49.5,2
other,450,53,4
Kodigehaali,1200,60,2
Kaval Byrasandra,945,50,2
Benson Town,4460,650,4
Hormavu,1175,52,2
Whitefield,920,63,2
Hosakerehalli,3024,350,4
other,1600,110,2
Sanjay nagar,750,110,4
other,2400,700,4
other,955,34.01,2
Ardendale,1750,100,3
Uttarahalli,1425,64,3
Basavangudi,2150,265,3
Whitefield,1165,40.5,2
Kaggadasapura,1050,48,2
other,1370,75,3
Electronic City,1374,72,3
Harlur,1754,124,3
Kothanur,1847,110,3
Ambedkar Nagar,1850,139,3
Chikka Tirupathi,3297,135,3
other,1187,45,2
Bommasandra Industrial Area,1400,40.44,3
other,600,30,3
Chamrajpet,1350,180,2
Doddaballapur,3000,120,3
Thanisandra,693,34.3,1
other,1980,224,3
KR Puram,1021,48,2
Thigalarapalya,1165,95,2
Horamavu Agara,1756,92,3
Bharathi Nagar,1739,105,3
Varthur,1280,65,2
Marathahalli,1215,58.86,2
Munnekollal,950,46.5,2
Kengeri,1082,49,3
7th Phase JP Nagar,1050,42,2
Devanahalli,1080,53.35,2
Arekere,1100,55,2
Ardendale,3200,205,4
Sarjapur  Road,1311,78,2
Raja Rajeshwari Nagar,1608,67.98,3
Begur Road,1160,36,2
Whitefield,1170,71,2
Kengeri,1155,40.6,2
Hebbal,1255,77.68,3
Rayasandra,1065,44.95,2
Neeladri Nagar,674,21,1
Ambedkar Nagar,1936,126,3
Sarakki Nagar,2289,260,3
other,1100,38.45,2
Ramagondanahalli,2257,157,3
Nagarbhavi,1055,55,2
Raja Rajeshwari Nagar,1530,51.87,3
other,1700,97,3
Raja Rajeshwari Nagar,1575,78,3
Frazer Town,3500,330,3
Rajiv Nagar,1263,93.32,2
KR Puram,1559,69.315,3
Kengeri Satellite Town,1043,65,2
Hennur,1255,53.5,2
JP Nagar,1352.5,93.865,2
Chandapura,590,13.57,1
Yelahanka,1550,120,3
Sarjapur  Road,1220,56,3
other,1900,160,3
other,1360,55,3
other,1100,75,2
8th Phase JP Nagar,1455,73.31,3
KR Puram,1035,40.5,2
Harlur,1152,69,2
Bellandur,1299,82,2
Sarjapur  Road,1157,75,3
Rachenahalli,1050,52.5,2
Pai Layout,1050,40,2
Vittasandra,1246,67.4,2
other,1929,115,3
Hennur,1285,60,2
Margondanahalli,1200,65,3
other,3161,214,4
BTM 2nd Stage,1850,170,3
Sompura,1025,37,3
Malleshwaram,1124,80,2
Balagere,1012,54.59,2
Giri Nagar,4500,250,7
8th Phase JP Nagar,871,55,2
other,1020,40,2
Rachenahalli,1550,73.5,3
other,3515,420,3
Akshaya Nagar,1410,80,3
Chikka Tirupathi,3500,150,4
Whitefield,1118,75,2
Thanisandra,1098,68,2
Kanakapura,1130,45.2,2
Sarjapur  Road,1145,75,2
Kadugodi,950,80,3
other,1051,33,2
other,600,108,7
Marathahalli,1102,53.67,2
Jalahalli,1478,125,2
Chandapura,645,16.45,1
Hebbal,823,50.63,2
Abbigere,880,35,2
KR Puram,600,75,4
Budigere,1991,100,3
TC Palaya,1100,50,3
Gubbalala,1745,115,3
HAL 2nd Stage,1226,135,2
Begur Road,680,68,3
other,1100,70,2
Banashankari Stage VI,1200,195,4
5th Phase JP Nagar,1450,58,2
Singasandra,3366,120,4
Sahakara Nagar,1150,54,2
Kanakpura Road,1843,95.84,3
Banashankari Stage VI,2200,195,4
Bommanahalli,1090,44,2
Kaggadasapura,1132,42,2
Hulimavu,1375,80,2
7th Phase JP Nagar,1500,220,4
Thanisandra,760,50.3,1
Kaggadasapura,1180,65,2
Jigani,918,45,2
Rachenahalli,600,50,5
Margondanahalli,1200,53,2
HSR Layout,1372,61,2
other,2400,355,7
Ardendale,1728,95,3
Malleshwaram,2215,275,3
BTM 2nd Stage,1200,80,2
6th Phase JP Nagar,1280,56,2
Hulimavu,800,110,4
other,1455,56,3
Rachenahalli,440,28,1
Kanakpura Road,1500,97,3
Whitefield,1800,110,3
Mysore Road,1525,96,3
Rachenahalli,1204,38.5,2
Old Madras Road,1225,53.55,2
Kalyan nagar,800,98,6
Bannerghatta Road,1650,122,3
Electronic City,880,18,3
other,4200,255,4
other,1200,55,2
Sarjapur  Road,1152,230,4
9th Phase JP Nagar,1005,42,2
Whitefield,1562,103,3
Devanahalli,5000,395,4
Babusapalaya,810,95,6
Ramamurthy Nagar,1200,42,2
Kasavanhalli,1555,82.5,3
KR Puram,1550,71,2
Whitefield,1190,67,2
Chikkalasandra,1070,50,2
Jalahalli East,1020,42.48,2
Yelahanka,1610,115,3
other,700,41,1
other,1300,49,3
Hebbal,1420,123,2
Vidyaranyapura,1200,100,9
Hebbal,1069,65.4,3
Marathahalli,1900,123,3
Old Airport Road,1655,97.65,2
Uttarahalli,1155,40.42,2
Sarjapur  Road,1300,70,3
Electronic City,1100,45,2
Doddathoguru,1030,42,2
Vittasandra,2105,70.2,2
Bhoganhalli,1700,126,3
Jakkur,1760,139,3
Kadugodi,6200,200,9
other,1400,67,2
other,1200,53,2
Bannerghatta Road,912,55,2
Whitefield,1102,48,2
other,1535,55,3
Haralur Road,1243,46,2
Jigani,918,63.2,2
Begur Road,1500,70,3
other,3000,250,3
Kasavanhalli,1476,89,3
Mysore Road,1200,65,2
Vijayanagar,606,34.78,1
other,1100,61,2
Garudachar Palya,1295,59.5,3
Neeladri Nagar,527,26,1
OMBR Layout,1300,80,2
Bommanahalli,680,68,3
other,1260,41,1
Koramangala,1140,75.2,2
other,1500,37.5,1
Whitefield,2321,128,3
Sarjapur  Road,1390,62,2
Sarjapur  Road,1725,90,3
Hebbal,3067,310,4
Hennur Road,1186,63,3
Kanakpura Road,1230,85,2
other,600,17,1
Yeshwanthpur,1313,96,3
TC Palaya,900,55,2
Ambalipura,1250,66.25,2
HBR Layout,1200,280,9
Binny Pete,660,54,1
Basavangudi,1036,105,2
Koramangala,2700,450,4
Old Madras Road,1100,70,2
BTM 2nd Stage,1500,450,4
Singasandra,525,56,4
Electronics City Phase 1,1015,56,2
Gottigere,812,26,1
other,1360,65,3
Nehru Nagar,2167,170,3
Raja Rajeshwari Nagar,1200,35,2
other,1165,75,2
BTM 2nd Stage,1274,70,2
Raja Rajeshwari Nagar,1151,39.02,2
Vidyaranyapura,1060,110,6
Thubarahalli,1626,120,3
Banashankari Stage V,1035,35.77,2
other,1272,75,3
other,965,45,2
other,1600,140,5
Kothannur,1070,42.79,2
Raja Rajeshwari Nagar,1570,65,3
other,780,25,2
other,1000,65,3
9th Phase JP Nagar,1200,188,4
Tindlu,7500,400,7
5th Phase JP Nagar,1700,100,3
Haralur Road,1850,110,3
Kereguddadahalli,904,30,2
other,1121,43.72,2
7th Phase JP Nagar,1385,58.17,3
Sahakara Nagar,1270,69.85,2
Kanakpura Road,1450,56,3
other,2400,325,3
Mahadevpura,730,35,1
Raja Rajeshwari Nagar,1580,53.56,3
Thanisandra,1111,50,2
Kengeri,1125,88,4
Varthur,977,36,2
other,674,19.9,2
Nagarbhavi,600,83,3
Sarjapur,2540,115,4
Jakkur,1290,100,2
Kumaraswami Layout,600,98,3
Abbigere,795,32.54,2
Kanakpura Road,700,35,2
other,1463,142,2
Vijayanagar,1000,140,3
other,1306,58,3
other,2401,185,3
Bommenahalli,1670,135,4
other,1875,235,3
Marsur,1200,90,3
Dodda Nekkundi,1804,121,3
1st Phase JP Nagar,2065,210,3
Hoskote,1225,40,3
Thanisandra,1185.5,58.68,2
Bellandur,900,56,2
Binny Pete,1350,91,2
Kaggalipura,700,36,1
Mysore Road,1005,35.175,2
Poorna Pragna Layout,1160,46.39,2
Hennur Road,1680,99.27,3
LB Shastri Nagar,1043,55,2
Hoskote,1200,120,4
Hebbal,1040,46,2
Tindlu,1357,65,3
other,1600,104,7
other,1225,47,2
other,1500,80,9
Yelachenahalli,1130,40,2
Basavangudi,2500,150,4
Sultan Palaya,1700,120,3
Doddathoguru,1549,65,3
Yeshwanthpur,1400,100,2
Dodda Nekkundi,1080,50,2
Ulsoor,1180,100,2
other,780,150,7
Domlur,1800,150,3
Haralur Road,1225,67.38,2
other,890,75,1
Abbigere,1005,39.59,2
Whitefield,1320,95,2
Anandapura,1475,50,4
Kudlu Gate,1707,99.745,3
other,1110,51,2
other,1300,54,2
other,600,86,5
Electronic City,1128,65.35,2
Jakkur,1452.19,100,2
other,2400,290,3
Banashankari,2600,135,3
Sarakki Nagar,2500,325,3
Sanjay nagar,630,35,2
Hosa Road,1243,48.5,2
other,960,32,2
other,1690,100,3
Whitefield,735,35,2
Banaswadi,1365,73,2
Rajaji Nagar,2849,300,5
Hebbal,1420,99.39,2
Somasundara Palya,1570,68,3
Bisuvanahalli,850,32,2
7th Phase JP Nagar,1575,110,3
Thigalarapalya,1418,104,2
Uttarahalli,1050,42,2
Hennur Road,1065,42.6,2
Ulsoor,1340,90,3
Yelahanka New Town,1610,92,3
Electronic City Phase II,1160,33.5,2
Kudlu,1092,44,2
Parappana Agrahara,1194,47,2
Yelahanka,1455,61.5,3
Abbigere,734,19.82,1
other,799,38,2
Whitefield,1896,75,3
Ardendale,1100,48,2
Bellandur,1350,79,2
other,1355,61,3
Electronic City,1128,65,2
other,1350,90,2
Cunningham Road,3875,864,3
Kasavanhalli,1493,82,3
8th Phase JP Nagar,1098,43.91,2
Banashankari,1900,170,3
other,1460,88,3
Frazer Town,2350,285,3
Horamavu Banaswadi,1600,140,5
Varthur,1091,32,2
Yelahanka,1180,42,2
Kanakpura Road,1366,76.85,2
other,1685,95,3
Koramangala,1260,100,2
Whitefield,3010,200,3
Ramamurthy Nagar,1330,140,3
Mallasandra,1200,130,2
Whitefield,1346,96.17,2
Chandapura,630,13.86,1
Sarjapur  Road,1476,98.94,3
7th Phase JP Nagar,1850,140,3
Frazer Town,2350,423,5
Electronic City,755,34,2
other,800,98,5
Parappana Agrahara,1194,46,2
Whitefield,3850,316,3
Hebbal,4235,365,4
other,800,52,1
Rachenahalli,2250,195,3
Vijayanagar,1352,68,2
Thanisandra,2002,112,3
other,4000,280,4
Kaval Byrasandra,1060,45,2
Kanakpura Road,1419.59,59,3
Raja Rajeshwari Nagar,1196,51.15,2
Electronic City,1220,35.24,3
Electronics City Phase 1,1595,75,3
Banashankari,1260,75,2
Hebbal,1100,47,2
Frazer Town,1550,140,2
ISRO Layout,1180,52,2
Electronic City,4000,150,4
Akshaya Nagar,1662,85,3
Hennur,1285,60,2
Akshaya Nagar,1080,75,4
Ambedkar Nagar,1862,119,3
Raja Rajeshwari Nagar,1419,48,2
Whitefield,1410,43.71,3
Raja Rajeshwari Nagar,1560,62.4,3
other,1100,150,5
Thanisandra,1634,78,3
Ambedkar Nagar,5530,627,5
Whitefield,1150,44,3
other,1100,53,2
Yelahanka,1616,65,3
Nagavarapalya,1392,99,2
Jakkur,1798,120,3
Babusapalaya,1675,75,3
other,792,70,2
other,2000,103,5
other,600,89,7
Hebbal,1700,124,3
Hulimavu,1248,69,2
other,1147,54,2
Sultan Palaya,1100,40,2
Vijayanagar,1527,115,3
other,2400,235,5
Kanakpura Road,525,25,1
Kaggadasapura,1100,58,2
Seegehalli,1118,37.5,2
Kanakapura,1476,75,3
other,2100,75,3
other,1215,46.5,3
Ambalipura,1332,79,2
Hennur Road,1350,49,2
Kothannur,600,81,4
Haralur Road,1243,46,2
NGR Layout,1105,49.73,2
Padmanabhanagar,1500,200,3
Kasavanhalli,1200,50,2
Ramagondanahalli,1251,47.4,2
Kambipura,883,45,2
Pai Layout,1400,67,3
Rajaji Nagar,1800,260,3
Hegde Nagar,1703,113,3
NRI Layout,2500,130,5
Varthur,1250,71,3
Jigani,933,43,2
other,461.82,31.7,1
Brookefield,1262,75,2
Yelahanka,915,48,2
Panathur,1370,61.5,3
Malleshpalya,1210,55,2
Kodihalli,2392,260,3
other,1500,85,3
other,1065,50,2
Rajaji Nagar,3100,570,4
Ramamurthy Nagar,1515,65,3
Sarjapura - Attibele Road,1800,110,4
Thanisandra,1445,40.31,3
Uttarahalli,1300,55,3
Vijayanagar,989,60,2
Jakkur,1300,85,2
Chandapura,1185,30.22,3
Battarahalli,1350,110,5
Marathahalli,1045,60,2
other,1205,42.18,2
other,1260,75,2
other,1320,199,5
Ulsoor,1500,125,3
Bommanahalli,1250,42.5,3
other,1199,50,2
Hennur Road,1385,83.09,2
other,1222,250,6
Lakshminarayana Pura,1149,75,2
Sarjapur  Road,2180,170,3
TC Palaya,1200,110,8
other,12000,525,10
other,1200,195,5
Hulimavu,1818,135,3
other,1070,33,2
Rajaji Nagar,1640,241,3
Nagarbhavi,1350,54.6,3
Chandapura,630,27,2
Hoodi,1430,113,2
Nagavara,2430,180,3
other,1500,220,6
Sarjapur  Road,1084,55,2
Hennur Road,1186,56,3
Kengeri,1255,50,2
